id,description,title,price,nominal,img,gender,category
21WMCW471003,Camisa algodón de popelín estampada,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwdbaf63fc/images/B2C/21WMCW47_1003_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMPW055000,Pantalón chico slim cordón,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw599fe284/images/B2C/21WMPW05_5000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK444009,Camiseta parche 100% algodón,Newcollection,39.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw3ab98cd2/images/B2C/21WMTK44_4009_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMSK024092,Sudadera oversize bajo asimétrico,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw4df1b636/images/B2C/21WMSK02_4092_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMCW412022,Camisa algodón estampada,Newcollection,69.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwc26adee0/images/B2C/21WMCW41_2022_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMPW015001,Pantalón jogger cargo híbrido,Newcollection,99.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw98b20d76/images/B2C/21WMPW01_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK264092,Camiseta básica algodón mix estampado,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw3db7ce3c/images/B2C/21WMTK26_4092_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WBTK115022,Camiseta algodón ilustración Bugs Bunny,Newcollection,29.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw28d19402/images/B2C/21WBTK11_5022_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGED025007,Chaqueta vaquera oversize bordada,Newcollection,79.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw34d570c1/images/B2C/21WGED02_5007_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WBTK045032,Camiseta algodón doble manga,MICKEYMOUSE,29.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw8289473e/images/B2C/21WBTK04_5032_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGDD055160,Peto vaquero largo ilustración,MICKEYMOUSE,69.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwbd6f2f06/images/B2C/21WGDD05_5160_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WBSK042003,Sudadera capucha ilustración,MICKEYMOUSE,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw09cbe818/images/B2C/21WBSK04_2003_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGTK153092,Camiseta manga larga Minnie Mouse,MICKEYMOUSE,29.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwab939182/images/B2C/21WGTK15_3092_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGTK209020,Camiseta manga larga Mickey Mouse,MICKEYMOUSE,29.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwfde01a8a/images/B2C/21WGTK20_9020_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGFD025160,Falda corta vaquera Mickey Mouse,MICKEYMOUSE,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw8f097951/images/B2C/21WGFD02_5160_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGDD025008,Pantalón vaquero Wide leg bordado,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw2660bc5a/images/B2C/21WGDD02_5008_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGFD015008,Falda corta vaquera flores,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwe5813e97/images/B2C/21WGFD01_5008_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGTK224014,Camiseta tul volantes,Newcollection,35.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwdf5790fe/images/B2C/21WGTK22_4014_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGFD015007,Falda corta vaquera flores,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw41360ba1/images/B2C/21WGFD01_5007_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGED025008,Chaqueta vaquera oversize bordada,Newcollection,79.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwc87fde48/images/B2C/21WGED02_5008_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGVK064014,Vestido volantes arty,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwd8693297/images/B2C/21WGVK06_4014_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGTK191008,Camiseta capa mariposa,Newcollection,35.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwab7634ab/images/B2C/21WGTK19_1008_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGTK251000,Camiseta flores lentejuelas,Newcollection,25.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw6029400e/images/B2C/21WGTK25_1000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGSK091008,Sudadera oversize mariposa,Newcollection,39.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwc5f6150b/images/B2C/21WGSK09_1008_2.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGVK043045,Vestido camisetero volantes flores,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwa043fdc6/images/B2C/21WGVK04_3045_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGVK044092,Vestido camisetero volantes flores,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw3cc994f6/images/B2C/21WGVK04_4092_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WGPW023045,Mono pantalón flores,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwc5ef5390/images/B2C/21WGPW02_3045_5.jpg?sfrm=jpg&sw=420&q=90,Kids,Novedades
21WWLOOK0023,Mini Me 1,"",0.0,"",https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwf726f22f/images/B2C/padded_minime.jpg?sfrm=jpg&sw=834&q=90,Kids,MinimeNuevo
21WWVK892000,Vestido slim forro interior,Newcollection,79.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw42242105/images/B2C/21WWVK89_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WGVK202000,Vestido talle alto flores,Newcollection,39.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw1f23267f/images/B2C/21WGVK20_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWLOOK0024,Mini Me 2,"",0.0,"",https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwf85fad7c/images/B2C/sudadera_minime.jpg?sfrm=jpg&sw=834&q=90,Kids,MinimeNuevo
21WGEWX02000,Chaqueta slim acolchada flores,Newcollection,99.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwba88fe59/images/B2C/21WGEWX0_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWEW022000,Chaqueta slim acolchada capucha,Newcollection,169.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw9c33842c/images/B2C/21WWEW02_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWLOOK0025,Mini Me 3,"",0.0,"",https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw2efeaaa2/images/B2C/vestido_minime.jpg?sfrm=jpg&sw=834&q=90,Kids,MinimeNuevo
21WWEW812000,Chaqueta loose pelo,Newcollection,199.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw7fbe14e5/images/B2C/21WWEW81_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WGEW053091,Cazadora trucker pelo suave,Newcollection,119.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw4e5a0b54/images/B2C/21WGEW05_3091_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWLOOK0026,Mini Me 4,"",0.0,"",https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw90c2be8a/images/B2C/dress_minime.jpg?sfrm=jpg&sw=834&q=90,Kids,MinimeNuevo
21WGVK064014,Vestido volantes arty,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwd8693297/images/B2C/21WGVK06_4014_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWVK274024,Vestido corto arty,Newcollection,69.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw7d2eac21/images/B2C/21WWVK27_4024_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWDD105053,Vaquero Straight tobillero mandalas,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwa563dd98/images/B2C/21WWDD10_5053_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WGDD015007,Pantalón vaquero Mom fit bordado,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw50be9397/images/B2C/21WGDD01_5007_2.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WGTK142000,Camiseta manga larga corazones,Newcollection,19.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwa799d201/images/B2C/21WGTK14_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWBW082000,Blusa loose crepe corazones,Newcollection,69.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw0eab28e2/images/B2C/21WWBW08_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WWTKC99019,Camiseta slim tul arty,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwb1a83bbd/images/B2C/21WWTKC9_9019_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WGTK224014,Camiseta tul volantes,Newcollection,35.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwdf5790fe/images/B2C/21WGTK22_4014_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
21WGVK103006,Vestido trapecio patch flores,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw05c9b306/images/B2C/21WGVK10_3006_1.jpg?sfrm=jpg&sw=420&q=90,Kids,MinimeNuevo
